contact_id,factset_entity_id,discrepancy
{'5d94ef8b845abf0008c51bf7'},{'002HF5-E'},{''}
{'57d38c5991aea376a7b6dd86'},{'0B7JQ5-E'},{''}
{'595d63ed5f20d4a8bb5ba16c'},{'068PJR-E'},{''}
{'5aaaee4c9fca31fae2cde340'},{'06P1MC-E'},{''}
{'5dc09e72ee0c470008c447fd'},{'09TPPP-E'},{''}
{'57d38c5891aea376a7b6da7c'},{'001KMN-E'},{''}
{'5dcdbb83541e066437d6c7a0'},{'0FSR5G-E'},{''}
{'5dcf4f2d0f635f16fb8e60d3'},{'0BM7VG-E'},{''}
{'57d38c5991aea376a7b6e519'},{'05T0CT-E'},{''}
{'5db33d1ff23f7a0007fa66ca'},{'072ZD5-E'},{''}
{'5dc188b6e7fcd70007fa7a1b'},{'0FPT3G-E'},{''}
{'5dd69b397270bd0008bbb535'},{'00BSSP-E'},{''}
{'5daf9dbecd2be500078c2474'},{'000CM9-E'},{''}
{'5cf6b620949c16e88b6e60c8'},{'05FPPB-E'},{''}
{'5dd740a315461c000808f91d'},{'000PHW-E'},{''}
{'5d288ea9fce7378bda12b35b'},{'05TN61-E'},{''}
{'5d288ea9fce7378bda12b35b'},{'05MLS6-E'},{''}
{'5db8a97e1bc59b0007197e6a'},{'0CDMBB-E'},{''}
{'57d38cbf91aea376a7b8bd35'},{'08572W-E'},{''}
{'5dc18647e7fcd70007fa7a15'},{'0GLJLJ-E'},{''}
{'5dd6af90d5733a00086b7709'},{'0CKWX8-E'},{''}
{'57d38c5891aea376a7b6d481'},{'0098MJ-E'},{''}
{'5ddc4bc8ac80c9a8457e98b1'},{'002GX7-E'},{''}
{'5ddd4449ac80c9a8457e98b4'},{'0BM5DT-E'},{''}
{'5ddd4449ac80c9a8457e98b4'},{'002GX7-E'},{''}
{'5dde903da854370008c3afa4'},{'004HYR-E'},{''}
{'5ddec9122bc80500073af9ba'},{'002HTK-E'},{''}
{'5de55082cb43540007a330c2'},{'05LB55-E'},{''}
{'57d38c5991aea376a7b6dd0e'},{'0648Q0-E'},{''}
{'5de6962c12e261000863c555'},{'05F7BG-E'},{''}
{'5dea9f49e083110007e22256'},{'06W39G-E'},{''}
{'5deab121a5ac96000715ffce'},{'00C6CX-E'},{''}
{'5dee77afe389ea000839afae'},{'002FYS-E'},{''}
{'57d38c5991aea376a7b6dd7b'},{'06N7F6-E'},{''}
{'57d38c5991aea376a7b6de93'},{'06T0MQ-E'},{''}
{'57d38c5991aea376a7b6debe'},{'002L8H-E'},{''}
{'57d38c5991aea376a7b6e2c8'},{'06RB5J-E'},{''}
{'57d38c5991aea376a7b6ddf1'},{'05LY6L-E'},{''}
{'57d38ccd91aea376a7b8f89e'},{'0039BK-E'},{''}
{'57de18844ba56897e4195b08'},{'0FKPXQ-E'},{''}
{'5c8bad5544da0700047e6456'},{'0F9P50-E'},{''}
{'5ccdadc2eec132e66f9464cc'},{'061GCW-E'},{''}
{'5cf5200554a1d6f8e7a06a07'},{'0096PF-E'},{''}
{'5d0a7b91d4202e950a393950'},{'09586F-E'},{''}
{'5d0bc2dfe0ba5db0c74320dc'},{'008BV4-E'},{''}
{'5d0e7420f43b370e089c3711'},{'000KLZ-E'},{''}
{'5d11262af261c127742d790b'},{'0D32TN-E'},{''}
{'5d112af9ee3321195ad56efe'},{'06S1MZ-E'},{''}
{'5d13777b01ceda306112588a'},{'08D3XB-E'},{''}
{'5d8cc972ae98ed0007e3ab65'},{'00CF8V-E'},{''}
{'5d8e26ac83cd930007b4264f'},{'05T05J-E'},{''}
{'5d925ed25e72ae0007d849ab'},{'002TFP-E'},{''}
{'5d964bb3234632000744e64f'},{'05T05J-E'},{''}
{'5d9f3559a27d3d0007919c99'},{'000WWX-E'},{''}
{'5dadc7a377260000086535f1'},{'00D1FG-E'},{''}
{'5dea786ed04e9500089ea62e'},{'0DKZMV-E'},{''}
{'5dea786ed04e9500089ea62e'},{'0DCX79-E'},{''}
{'5dee7e5f1925d80008e929b6'},{'0DD9T7-E'},{''}
{'5df117610cea9800078d80db'},{'0024N0-E'},{''}
{'5d278b320759ca17f08db16e'},{'05GCYG-E'},{''}
{'5dd6b52226efa60008aac073'},{'0080B9-E'},{''}
{'5dd6b52226efa60008aac073'},{'0CB6NK-E'},{''}
{'5df25809fe614e00077fac2d'},{'002FYS-E'},{''}
{'5cf6b78da1e60d826c942963'},{'0DJ88N-E'},{''}
{'5dfa47e414a2030007dfcdcb'},{'0CB6NK-E'},{''}
{'5df1194d0cea9800078d80dd'},{'06010D-E'},{''}
{'5dc187b5e7fcd70007fa7a19'},{'00377X-E'},{''}
